In,Out,After Text,Before Text,State
00:15:21:12,00:15:23:18,You promise to keep it a secret    -Of course,You promise to keep it a secret -Of course,True
00:15:23:18,00:15:25:16,The school must never find out    -They won't,The school must never find out -They won't,True
00:15:47:15,00:15:48:20,Take a photo?    -Yes,Take a photo? -Yes,True
00:15:49:11,00:15:50:16,Don't    -Why not?,Don't -Why not?,True
00:15:50:16,00:15:51:20,"I'm a mess    -Oh, please","I'm a mess -Oh, please",True
00:16:20:13,00:16:22:01,What do you think?    -It's fine,What do you think? -It's fine,True
00:16:24:00,00:16:25:05,Is that okay?    -Sure,Is that okay? -Sure,True
00:19:53:21,00:19:56:14,'You've visited that patient in your off-time','You've visited that patient in your off-time',True
00:23:27:11,00:23:29:06,Really?    -Give it a try,Really? -Give it a try,True
00:18:18:09,00:18:25:02,當我 當我遠去,當我當我遠去,True
00:20:44:00,00:20:45:17,星玥夢想 喬伊.哈爾度實習計劃,星玥夢想喬伊.哈爾度實習計劃,True
